"Periodo","Valor"
1,1.12662662654639e-06
2,1.64531983642968e-05
3,7.73101832962642e-06
4,5.59388884646683e-06
5,1.25949126048575e-05
6,1.75226838832199e-05
7,9.86186836293701e-06
8,1.95912714685553e-05
9,1.84149211990281e-07
10,1.63441412085463e-05
11,1.13620797004277e-06
12,6.64415170534838e-05
13,4.70787344208912e-06
14,1.10859015127751e-05
15,6.52001486878273e-06
16,1.93764934974805e-06
17,1.09296312753582e-05
18,8.82103186228278e-06
19,0.000301429906146788
20,4.76034806484726e-06
21,5.57974986881149e-06
22,1.64478364950149e-05
23,2.16187029216108e-05
24,2.68622884358471e-06
25,5.06337760053377e-05
26,6.45583113956238e-06
27,6.87149259337438e-06
28,7.62225461570232e-06
29,3.960016959903e-07
30,6.33014491602246e-06
31,4.54274538335131e-05
32,4.34786876213344e-06
33,1.38979054556954e-05
34,2.548908026756e-05
35,6.6154706840349e-06
36,3.44052679894791e-05
37,1.27241327363414e-07
38,0.00189480083825366
39,4.22914261225538e-05
40,2.57219744337345e-06
41,1.24967778691865e-06
42,1.33229540415503e-05
43,1.4905436974022e-05
44,4.34551976191688e-06
45,8.5000353834408e-06
46,7.0816266677598e-05
47,2.06707009038354e-05
48,8.48133571937915e-05
49,2.47131935726674e-05
50,3.10783408450366e-05
51,5.07727629545096e-05
52,2.30396598644989e-05
53,1.43870309260441e-05
54,4.23770351309916e-06
55,2.5388237215096e-05
56,6.19560887937798e-06
57,9.00163103090268e-06
58,1.01460647291551e-05
59,9.06461356597887e-06
60,2.13575608076777e-06
61,1.71001289490658e-05
62,3.06477349204526e-05
63,4.50860843254075e-05
64,4.25946358638685e-05
65,6.54506041298797e-05
66,1.34053430009828e-05
67,3.93730499703704e-06
68,1.50127388710564e-05
69,4.75664780541507e-06
70,4.1051675818693e-06
71,7.05466939743271e-06
72,2.58329218627562e-05
73,1.63164824906747e-05
74,2.22065638988411e-07
75,1.64192118228268e-05
76,3.50242786287813e-05
77,6.73913797100134e-06
78,6.15613826138173e-06
79,2.52990415894327e-06
80,7.86383202167062e-06
81,5.99116334309979e-06
82,1.10614280031118e-05
83,3.1073521169489e-06
84,4.59928913344454e-05
85,5.50356495834237e-05
86,3.12514395766073e-05
87,1.77922380166784e-05
88,2.57571149271385e-05
89,0.000779525684590276
90,1.3665732919943e-05
91,2.72619319594547e-05
92,1.30942170711856e-05
93,2.35963598802513e-05
94,0.000218210232110105
95,0.337958570843464
96,4.06997375923535e-06
97,0.000138159587679931
98,6.96892142912908e-05
99,4.50498391536547e-05
100,2.41644303666799e-05
101,2.77662890593167e-05
102,0.000399905076416851
103,3.88105864961297e-05
104,1.31544183099574e-05
105,9.15308235349688e-06
106,5.95576294903921e-06
107,1.19823491665505e-05
108,4.15924361063524e-06
109,2.2347876149853e-05
110,6.77671716684536e-05
111,1.0374509450406e-06
